Date,Open,High,Low,Close,Volume,Market_Cap,Tomorrow,Target
2023-07-04,31156.86492165544,31325.198166376776,30659.355893337084,30777.58151116772,12810828427.35,597702171825.96,30514.16639281996,0
2023-07-03,30624.51631127161,31375.61325200148,30586.51343339069,31156.43949157535,15271884873.11,605031166919.12,30777.58151116772,0
2023-07-02,30587.26995587785,30766.139746690114,30264.018714366972,30620.77026344812,10533418042.02,594601955892.83,31156.43949157535,1
2023-07-01,30471.847563048803,30641.2893232817,30328.86474880932,30590.0790715004,9086606733.0,593974448099.12,30620.77026344812,1
2023-06-30,30441.35375917607,31256.8626995544,29600.275939419127,30477.251282244622,26387306196.78,591758288455.82,30590.0790715004,1
2023-06-29,30086.186717423134,30796.250239651657,30057.20302030009,30445.3512260882,13180860821.04,591107911061.22,30477.251282244622,1
2023-06-28,30696.56148684194,30703.27997632466,29921.82283255985,30086.24618852492,14571500779.44,584108674470.97,30445.3512260882,1
2023-06-27,30274.321187966107,31006.78657697437,30236.65129380437,30688.163854246024,16428827943.78,595773660616.42,30086.24618852492,0
2023-06-26,30480.523973068972,30636.029429573337,29955.74329373245,30271.131016739702,16493186997.21,587650439314.87,30688.163854246024,1
2023-06-25,30545.150233460405,31041.272067035912,30327.94278399382,30480.26160573749,12703464114.44,591683600297.12,30271.131016739702,0
2023-06-24,30708.73845396601,30804.14936626635,30290.14647599631,30548.694824738708,12147822495.52,592983006395.12,30480.26160573749,0
2023-06-23,29896.383424039625,31389.538128135737,29845.21450520376,30695.46940748955,24115570084.62,595803665519.79,30548.694824738708,0
2023-06-22,29995.935766599723,30495.998447137208,29679.15740226772,29912.28171476797,20653160490.91,580578124574.23,30695.46940748955,1
2023-06-21,28311.31096035663,30737.329223589204,28283.410778834823,30027.29645350096,33346760979.13,582785323709.11,29912.28171476797,0
2023-06-20,26841.663530099617,28388.968417499316,26668.7916991755,28327.488264328196,22211859146.73,549771733917.47,30027.29645350096,1
2023-06-19,26335.442369620123,26984.611526472378,26312.83180762957,26851.02854552132,12826986222.15,521094554604.37,28327.488264328196,1
2023-06-18,26510.457605282787,26675.925532231984,26325.890181020062,26336.213003281027,9565695128.64,511079706782.86,26851.02854552132,1
2023-06-17,26328.67943900957,26769.39450192045,26174.491649574386,26510.67644688794,11090276850.25,514442327519.51,26336.213003281027,0
2023-06-16,25575.28259536865,26463.17306455292,25245.357683111808,26327.46239421728,16324646965.41,510862345346.3,26510.67644688794,1
2023-06-15,25121.673946191982,25735.308541637325,24797.167848615383,25576.394008263604,15837384409.1,496264527631.0,26327.46239421728,1
2023-06-14,25920.258089139683,26041.800109474854,24902.152701215837,25124.676679840817,14265717765.8,487476514345.28,25576.394008263604,1
2023-06-13,25902.9409098622,26376.35206932344,25728.365567508503,25918.72840126816,14143474486.27,502863816038.37,25124.676679840817,0
2023-06-12,25934.285597359547,26087.919073186164,25675.19759436772,25902.499869783027,11677889997.4,502523702241.22,25918.72840126816,1
2023-06-11,25854.03191845112,26203.43980788956,25668.98560722756,25940.16808034339,10732609602.85,503230985845.05,25902.499869783027,0
2023-06-10,26481.762544708385,26531.04516335344,25501.83624158554,25851.241003169685,19872933188.93,501477392550.51,25940.16808034339,1
2023-06-09,26505.92400824293,26770.28911733556,26339.31522115061,26480.37509359513,11015551640.28,513657047934.28,25851.241003169685,0
2023-06-08,26347.65345388678,26797.51278671825,26246.66375623629,26508.215902156466,11904824295.26,514170400421.06,26480.37509359513,0
2023-06-07,27235.649518401624,27332.18095651845,26146.98886820858,26345.99885126687,19530045081.91,510996613395.63,26508.215902156466,1
2023-06-06,25732.108862845296,27313.82068241709,25434.86713154732,27238.7837262174,21929670692.82,528291607015.54,26345.99885126687,0
2023-06-05,27123.10996380917,27129.98258376833,25445.1675071202,25760.096999536112,21513292646.48,499587457194.46,27238.7837262174,1
2023-06-04,27075.122073387676,27407.018569538297,26968.224140905622,27119.067193126317,9360912318.14,525920232790.71,25760.096999536112,0
2023-06-03,27252.323332614997,27317.05185408864,26958.003739925192,27075.12939844248,8385597470.09,525043616807.54,27119.067193126317,1
2023-06-02,26824.55698111948,27303.86168726784,26574.644421230823,27249.58894908836,14837414999.85,528404436446.27,27075.12939844248,0
